id;name;description;image;created_at;updated_at;type;criteria
1;incline;notwithstanding blaspheme;against;2025-03-01T23:03:27;2025-03-01T23:59:48;SPECIAL;sadly absent
2;stock;ugh round anti;gut packaging;2025-03-01T23:43:29;2025-03-01T18:19:58;MILESTONE;import guzzle fat
3;yum;cash;gestate;2025-03-02T10:41:20;2025-03-01T23:28:26;MILESTONE;about
4;amid fooey;than;gentle despite;2025-03-02T06:45:11;2025-03-02T07:22:01;SPECIAL;certainly blah
5;geez imagineer excepting;whose;puritan;2025-03-02T07:00:31;2025-03-01T23:43:41;MILESTONE;anenst
6;why by;bin;case as like;2025-03-01T12:43:24;2025-03-01T18:05:28;SPECIAL;reboot
7;boo that shyly;loftily early;aha the instead;2025-03-01T17:58:35;2025-03-02T02:18:16;ACHIEVEMENT;skyscraper outlaw stoop
8;phooey truly;howl;pish;2025-03-02T05:58:07;2025-03-01T17:27:22;SPECIAL;splendid harangue confound
9;developmental curly programme;luck helpfully boohoo;modulo times trench;2025-03-01T14:35:00;2025-03-02T10:50:11;SPECIAL;repurpose some whether
10;lamp;pish while deceivingly;outrun own bah;2025-03-02T05:48:51;2025-03-01T12:19:34;SPECIAL;when
