id;type;content;read;created_at
1;MENTIONED;ha;false;2025-03-01T14:59:57
2;TASK_STATUS_CHANGED;below;true;2025-03-01T16:55:27
3;MENTIONED;arrogantly spiffy;false;2025-03-02T05:38:51
4;TASK_DUE_SOON;unnaturally for;true;2025-03-01T22:57:46
5;TASK_ASSIGNED;celebrate once curly;true;2025-03-01T21:56:56
6;TASK_STATUS_CHANGED;whoa;false;2025-03-01T16:39:30
7;TASK_ASSIGNED;shadowbox;false;2025-03-02T03:51:40
8;TASK_DUE_SOON;joyfully;false;2025-03-02T07:55:47
9;TASK_DUE_SOON;bah custody quinoa;false;2025-03-02T01:53:59
10;TASK_ASSIGNED;stupendous whoever wearily;true;2025-03-01T13:45:24
