id;name;color;created_at;updated_at
1;reward defendant suspiciously;green;2025-03-01T21:03:43;2025-03-02T08:55:36
2;rationale;yellow;2025-03-02T04:39:26;2025-03-02T05:53:11
3;ill past;sky blue;2025-03-01T20:44:56;2025-03-01T18:16:29
4;atop tinted;olive;2025-03-02T01:05:33;2025-03-02T07:19:59
5;lazy;turquoise;2025-03-02T04:41:42;2025-03-01T21:01:33
6;insidious;cyan;2025-03-02T08:47:15;2025-03-02T02:10:39
7;like thoroughly;orange;2025-03-01T13:09:48;2025-03-01T22:45:02
8;emphasise;azure;2025-03-02T08:52:36;2025-03-01T17:53:26
9;limply present questionably;black;2025-03-02T02:30:18;2025-03-01T19:47:50
10;round settle gadzooks;fuchsia;2025-03-02T08:00:07;2025-03-01T22:37:38
