id;title;description;due_date;created_at;updated_at;status;priority;points_awarded
1;afterwards inasmuch er;battle heating lowball;2025-03-02T10:38:03;2025-03-02T05:35:42;2025-03-01T20:20:20;DONE;HIGH;19287
2;underneath;humble absent hence;2025-03-02T01:06:38;2025-03-02T12:09:26;2025-03-02T10:35:12;DONE;MEDIUM;13496
3;seriously;overfeed;2025-03-02T08:34:02;2025-03-01T13:23:12;2025-03-02T07:36:04;ARCHIVED;HIGH;1693
4;impractical since telescope;meh amend pine;2025-03-01T16:15:44;2025-03-01T22:52:47;2025-03-01T18:57:10;ARCHIVED;URGENT;14451
5;where;decision rarely;2025-03-02T11:55:00;2025-03-01T14:21:56;2025-03-01T16:43:44;ARCHIVED;URGENT;20642
6;expostulate;imaginative until;2025-03-01T15:55:27;2025-03-02T04:55:44;2025-03-01T23:29:54;IN_PROGRESS;URGENT;16687
7;pension unethically populist;video likewise brr;2025-03-01T15:01:03;2025-03-01T18:20:20;2025-03-02T09:25:18;DONE;URGENT;12728
8;jovially boring;incidentally lazily onto;2025-03-02T10:06:15;2025-03-02T08:41:15;2025-03-02T00:34:19;DONE;HIGH;6796
9;hollow zowie;frugal;2025-03-02T07:10:53;2025-03-02T07:40:57;2025-03-02T07:51:58;TODO;LOW;1129
10;wicked whereas phooey;until;2025-03-02T06:46:30;2025-03-01T21:09:21;2025-03-01T22:29:06;TODO;LOW;2732
